,Seed,NeuronType,MFs,Train_Acc.,Train_F1,Train_Rec.,Train_Prec.,Train_Spec.,Test_Acc.,Test_F1,Test_Rec.,Test_Prec.,Test_Spec.,time
0,0,andneuron_prod-probsum,2,0.905,0.865,0.836,0.896,0.944,0.701,0.524,0.528,0.521,0.78,5.8976826667785645
1,0,orneuron_probsum-prod,2,0.91,0.872,0.836,0.911,0.953,0.762,0.599,0.569,0.631,0.849,4.568274259567261
2,1,andneuron_prod-probsum,2,0.914,0.876,0.831,0.926,0.962,0.71,0.496,0.458,0.541,0.824,5.7989397048950195
3,1,orneuron_probsum-prod,2,0.918,0.882,0.846,0.922,0.959,0.71,0.504,0.472,0.54,0.818,4.558928966522217
4,2,andneuron_prod-probsum,2,0.912,0.875,0.841,0.911,0.953,0.714,0.542,0.542,0.542,0.792,5.861846208572388
5,2,orneuron_probsum-prod,2,0.918,0.884,0.862,0.908,0.95,0.706,0.558,0.597,0.524,0.755,4.545108318328857
6,3,andneuron_prod-probsum,2,0.912,0.877,0.856,0.898,0.944,0.714,0.5,0.458,0.55,0.83,5.991833686828613
7,3,orneuron_probsum-prod,2,0.912,0.872,0.821,0.93,0.965,0.732,0.537,0.5,0.581,0.836,4.529857397079468
8,4,andneuron_prod-probsum,2,0.918,0.884,0.856,0.913,0.953,0.684,0.467,0.444,0.492,0.792,5.795564651489258
9,4,orneuron_probsum-prod,2,0.91,0.873,0.846,0.902,0.947,0.706,0.5,0.472,0.531,0.811,4.5576865673065186
10,5,andneuron_prod-probsum,2,0.909,0.869,0.836,0.906,0.95,0.714,0.507,0.472,0.548,0.824,5.8788902759552
11,5,orneuron_probsum-prod,2,0.905,0.863,0.826,0.904,0.95,0.701,0.504,0.486,0.522,0.799,4.566271543502808
12,6,andneuron_prod-probsum,2,0.925,0.894,0.862,0.928,0.962,0.71,0.511,0.486,0.538,0.811,5.86298680305481
13,6,orneuron_probsum-prod,2,0.918,0.884,0.856,0.913,0.953,0.714,0.529,0.514,0.544,0.805,4.577162981033325
14,7,andneuron_prod-probsum,2,0.903,0.861,0.826,0.899,0.947,0.71,0.544,0.556,0.533,0.78,5.814483404159546
15,7,orneuron_probsum-prod,2,0.905,0.862,0.815,0.914,0.956,0.74,0.559,0.528,0.594,0.836,4.590246200561523
