,Seed,NeuronType,MFs,Train_Acc.,Train_F1,Train_Rec.,Train_Prec.,Train_Spec.,Test_Acc.,Test_F1,Test_Rec.,Test_Prec.,Test_Spec.,time
0,0,andneuron_prod-probsum,2,0.74,0.737,0.736,0.759,0.862,0.685,0.676,0.679,0.693,0.836,2.2841126918792725
1,0,orneuron_probsum-prod,2,0.748,0.746,0.742,0.766,0.866,0.679,0.673,0.675,0.688,0.833,1.5500953197479248
2,1,andneuron_prod-probsum,2,0.728,0.727,0.723,0.75,0.855,0.649,0.644,0.643,0.66,0.817,2.220329523086548
3,1,orneuron_probsum-prod,2,0.746,0.743,0.739,0.769,0.865,0.685,0.674,0.677,0.694,0.836,1.5888667106628418
4,2,andneuron_prod-probsum,2,0.731,0.728,0.725,0.75,0.857,0.675,0.669,0.668,0.692,0.83,2.229719400405884
5,2,orneuron_probsum-prod,2,0.746,0.742,0.741,0.768,0.865,0.692,0.684,0.689,0.7,0.839,1.5678138732910156
6,3,andneuron_prod-probsum,2,0.729,0.724,0.724,0.746,0.856,0.682,0.672,0.675,0.695,0.834,2.423452854156494
7,3,orneuron_probsum-prod,2,0.745,0.745,0.742,0.763,0.864,0.689,0.685,0.688,0.696,0.838,1.5693702697753906
8,4,andneuron_prod-probsum,2,0.738,0.732,0.732,0.755,0.861,0.662,0.651,0.657,0.664,0.825,2.2138381004333496
9,4,orneuron_probsum-prod,2,0.746,0.741,0.741,0.766,0.865,0.692,0.682,0.688,0.701,0.839,1.567990779876709
10,5,andneuron_prod-probsum,2,0.718,0.71,0.712,0.734,0.85,0.652,0.638,0.652,0.643,0.821,2.2304840087890625
11,5,orneuron_probsum-prod,2,0.749,0.747,0.744,0.772,0.866,0.672,0.663,0.665,0.682,0.829,1.5608038902282715
12,6,andneuron_prod-probsum,2,0.763,0.764,0.759,0.786,0.873,0.692,0.688,0.688,0.705,0.839,2.2993688583374023
13,6,orneuron_probsum-prod,2,0.748,0.744,0.743,0.772,0.865,0.692,0.683,0.688,0.703,0.839,1.578341007232666
14,7,andneuron_prod-probsum,2,0.738,0.736,0.734,0.756,0.861,0.682,0.672,0.682,0.685,0.835,2.2176144123077393
15,7,orneuron_probsum-prod,2,0.745,0.742,0.738,0.769,0.863,0.675,0.666,0.669,0.688,0.83,1.5809929370880127
