Seed,NeuronType,MFs,update_gene,mutation_rate,mutation_individual_rate,crossover_rate,max_generations,max_patience,mu,lambda,selection_strategy,Train_Acc.,Dev_Acc.,Test_Acc.,time
0,andneuron_prod-probsum,2,,0.1,0.3,0.3,50,20,50,70,plus,0.944,0.722,0.636,2323.481929540634
0,andneuron_prod-probsum,2,,0.1,0.3,0.7,50,20,50,70,plus,0.953,0.722,0.684,2263.22456407547
0,andneuron_prod-probsum,2,,0.1,0.7,0.3,50,20,50,70,plus,0.949,0.694,0.654,2738.7664954662323
0,andneuron_prod-probsum,2,,0.1,0.7,0.7,50,20,50,70,plus,0.939,0.667,0.701,2317.277414560318
0,andneuron_prod-probsum,2,,0.2,0.3,0.3,50,20,50,70,plus,0.932,0.685,0.671,2398.9640667438507
0,andneuron_prod-probsum,2,,0.2,0.3,0.7,50,20,50,70,plus,0.949,0.648,0.649,2264.9537394046783
0,andneuron_prod-probsum,2,,0.2,0.7,0.3,50,20,50,70,plus,0.937,0.694,0.68,2307.328745365143
0,andneuron_prod-probsum,2,,0.2,0.7,0.7,50,20,50,70,plus,0.939,0.731,0.641,2563.5181674957275
0,orneuron_probsum-prod,2,,0.1,0.3,0.3,50,20,50,70,plus,0.944,0.63,0.714,1860.4698197841644
0,orneuron_probsum-prod,2,,0.1,0.3,0.7,50,20,50,70,plus,0.939,0.676,0.701,2084.9483876228333
0,orneuron_probsum-prod,2,,0.1,0.7,0.3,50,20,50,70,plus,0.942,0.62,0.675,3461.5361206531525
0,orneuron_probsum-prod,2,,0.1,0.7,0.7,50,20,50,70,plus,0.935,0.667,0.719,3931.052812099457
0,orneuron_probsum-prod,2,,0.2,0.3,0.3,50,20,50,70,plus,0.949,0.676,0.684,2409.6636798381805
0,orneuron_probsum-prod,2,,0.2,0.3,0.7,50,20,50,70,plus,0.951,0.602,0.632,3611.3487317562103
0,orneuron_probsum-prod,2,,0.2,0.7,0.3,50,20,50,70,plus,0.946,0.685,0.688,2060.016470193863
0,orneuron_probsum-prod,2,,0.2,0.7,0.7,50,20,50,70,plus,0.942,0.685,0.684,1892.8209278583527
1,andneuron_prod-probsum,2,,0.1,0.3,0.3,50,20,50,70,plus,0.949,0.713,0.697,2254.0389964580536
1,andneuron_prod-probsum,2,,0.1,0.3,0.7,50,20,50,70,plus,0.937,0.694,0.697,2259.064562559128
1,andneuron_prod-probsum,2,,0.1,0.7,0.3,50,20,50,70,plus,0.942,0.667,0.654,2357.938614845276
1,andneuron_prod-probsum,2,,0.1,0.7,0.7,50,20,50,70,plus,0.942,0.583,0.68,2248.0138132572174
1,andneuron_prod-probsum,2,,0.2,0.3,0.3,50,20,50,70,plus,0.949,0.63,0.636,2257.8292768001556
1,andneuron_prod-probsum,2,,0.2,0.3,0.7,50,20,50,70,plus,0.944,0.75,0.667,2564.4069299697876
1,andneuron_prod-probsum,2,,0.2,0.7,0.3,50,20,50,70,plus,0.942,0.639,0.671,2563.1790494918823
1,andneuron_prod-probsum,2,,0.2,0.7,0.7,50,20,50,70,plus,0.951,0.694,0.671,2362.4279034137726
1,orneuron_probsum-prod,2,,0.1,0.3,0.3,50,20,50,70,plus,0.953,0.667,0.675,1806.829597711563
1,orneuron_probsum-prod,2,,0.1,0.3,0.7,50,20,50,70,plus,0.942,0.62,0.727,1975.4586646556854
1,orneuron_probsum-prod,2,,0.1,0.7,0.3,50,20,50,70,plus,0.956,0.63,0.688,1813.516445159912
1,orneuron_probsum-prod,2,,0.1,0.7,0.7,50,20,50,70,plus,0.951,0.657,0.675,1804.582691192627
1,orneuron_probsum-prod,2,,0.2,0.3,0.3,50,20,50,70,plus,0.953,0.648,0.662,1973.118770122528
1,orneuron_probsum-prod,2,,0.2,0.3,0.7,50,20,50,70,plus,0.956,0.667,0.662,1973.767925977707
1,orneuron_probsum-prod,2,,0.2,0.7,0.3,50,20,50,70,plus,0.949,0.694,0.684,1808.1980307102203
1,orneuron_probsum-prod,2,,0.2,0.7,0.7,50,20,50,70,plus,0.951,0.657,0.654,1978.6381995677948
2,andneuron_prod-probsum,2,,0.1,0.3,0.3,50,20,50,70,plus,0.939,0.593,0.628,2253.935841321945
