Seed,NeuronType,MFs,update_gene,mutation_rate,mutation_individual_rate,crossover_rate,max_generations,max_patience,mu,lambda,selection_strategy,Train_Acc.,Dev_Acc.,Test_Acc.,time
0,andneuron_prod-probsum,2,,0.1,0.3,0.3,50,20,50,70,plus,0.758,0.754,0.685,1819.9817678928375
0,andneuron_prod-probsum,2,,0.1,0.3,0.7,50,20,50,70,plus,0.751,0.761,0.679,2032.9726960659027
0,andneuron_prod-probsum,2,,0.1,0.7,0.3,50,20,50,70,plus,0.758,0.754,0.692,1755.7217195034027
0,andneuron_prod-probsum,2,,0.1,0.7,0.7,50,20,50,70,plus,0.755,0.746,0.692,1531.91867685318
0,andneuron_prod-probsum,2,,0.2,0.3,0.3,50,20,50,70,plus,0.755,0.754,0.692,1532.7428481578827
0,andneuron_prod-probsum,2,,0.2,0.3,0.7,50,20,50,70,plus,0.748,0.746,0.682,1601.9413166046143
0,andneuron_prod-probsum,2,,0.2,0.7,0.3,50,20,50,70,plus,0.746,0.746,0.682,1533.2333974838257
0,andneuron_prod-probsum,2,,0.2,0.7,0.7,50,20,50,70,plus,0.748,0.746,0.659,1600.6142563819885
0,orneuron_probsum-prod,2,,0.1,0.3,0.3,50,20,50,70,plus,0.75,0.761,0.682,1235.7314267158508
0,orneuron_probsum-prod,2,,0.1,0.3,0.7,50,20,50,70,plus,0.757,0.746,0.705,1135.1186137199402
0,orneuron_probsum-prod,2,,0.1,0.7,0.3,50,20,50,70,plus,0.748,0.746,0.685,1085.5589582920074
0,orneuron_probsum-prod,2,,0.1,0.7,0.7,50,20,50,70,plus,0.743,0.761,0.672,1087.295937538147
0,orneuron_probsum-prod,2,,0.2,0.3,0.3,50,20,50,70,plus,0.746,0.746,0.679,1133.080506324768
0,orneuron_probsum-prod,2,,0.2,0.3,0.7,50,20,50,70,plus,0.755,0.761,0.702,1182.9153845310211
0,orneuron_probsum-prod,2,,0.2,0.7,0.3,50,20,50,70,plus,0.755,0.761,0.689,2244.098901748657
0,orneuron_probsum-prod,2,,0.2,0.7,0.7,50,20,50,70,plus,0.744,0.754,0.659,1083.348031282425
