Seed,NeuronType,MFs,update_gene,mutation_rate,mutation_individual_rate,crossover_rate,max_generations,max_patience,mu,lambda,selection_strategy,Train_Acc.,Dev_Acc.,Test_Acc.,time,Train_F1,Dev_F1,Test_F1
0,andneuron_prod-probsum,2,neuron_weights,0.1,0.3,0.3,50,20,50,70,plus,0.65,0.653,0.693,22700.19398188591,0.625,0.628,0.806
0,orneuron_probsum-prod,2,neuron_weights,0.1,0.7,0.7,50,20,50,70,plus,0.649,0.653,0.715,13759.160876750946,0.631,0.634,0.822
0,andneuron_prod-probsum,2,neuron_weights,0.1,0.3,0.7,50,20,50,70,plus,0.649,0.653,0.701,22421.269289970398,0.626,0.629,0.811
0,orneuron_probsum-prod,2,neuron_weights,0.1,0.3,0.7,50,20,50,70,plus,0.649,0.653,0.73,13633.082154989243,0.632,0.635,0.833
0,andneuron_prod-probsum,2,neuron_weights,0.1,0.7,0.3,50,20,50,70,plus,0.649,0.653,0.715,22405.325510025024,0.631,0.634,0.822
0,orneuron_probsum-prod,2,neuron_weights,0.1,0.3,0.3,50,20,50,70,plus,0.65,0.653,0.723,13663.182641029358,0.631,0.634,0.827
0,andneuron_prod-probsum,2,neuron_weights,0.1,0.7,0.7,50,20,50,70,plus,0.649,0.653,0.701,22835.27460193634,0.626,0.629,0.811
0,orneuron_probsum-prod,2,neuron_weights,0.2,0.3,0.7,50,20,50,70,plus,0.65,0.654,0.715,15244.603836297989,0.632,0.634,0.822
0,andneuron_prod-probsum,2,neuron_weights,0.2,0.3,0.3,50,20,50,70,plus,0.65,0.653,0.693,22559.534974098206,0.625,0.628,0.806
0,orneuron_probsum-prod,2,neuron_weights,0.1,0.7,0.3,50,20,50,70,plus,0.65,0.653,0.708,13641.668256998062,0.63,0.632,0.817
0,andneuron_prod-probsum,2,neuron_weights,0.2,0.3,0.7,50,20,50,70,plus,0.649,0.653,0.701,23862.412720918655,0.626,0.629,0.811
0,orneuron_probsum-prod,2,neuron_weights,0.2,0.7,0.7,50,20,50,70,plus,0.65,0.654,0.693,18603.668247699738,0.608,0.612,0.802
0,andneuron_prod-probsum,2,neuron_weights,0.2,0.7,0.3,50,20,50,70,plus,0.651,0.653,0.701,22764.887224912643,0.621,0.622,0.809
0,orneuron_probsum-prod,2,neuron_weights,0.2,0.3,0.3,50,20,50,70,plus,0.65,0.654,0.715,16702.93975520134,0.631,0.633,0.822
0,andneuron_prod-probsum,2,neuron_weights,0.2,0.7,0.7,50,20,50,70,plus,0.649,0.653,0.701,22977.480817079544,0.626,0.629,0.811
0,orneuron_probsum-prod,2,neuron_weights,0.2,0.7,0.3,50,20,50,70,plus,0.65,0.654,0.715,14816.674287080765,0.63,0.632,0.822
1,andneuron_prod-probsum,2,neuron_weights,0.1,0.3,0.3,50,20,50,70,plus,0.65,0.654,0.686,22883.424989938736,0.609,0.611,0.796
1,andneuron_prod-probsum,2,neuron_weights,0.1,0.3,0.7,50,20,50,70,plus,0.65,0.654,0.686,22514.01116514206,0.609,0.611,0.796
1,andneuron_prod-probsum,2,neuron_weights,0.1,0.7,0.3,50,20,50,70,plus,0.65,0.654,0.686,23369.10291981697,0.609,0.611,0.796
1,andneuron_prod-probsum,2,neuron_weights,0.1,0.7,0.7,50,20,50,70,plus,0.65,0.654,0.686,22596.350638866425,0.609,0.611,0.796
1,andneuron_prod-probsum,2,neuron_weights,0.2,0.3,0.3,50,20,50,70,plus,0.65,0.654,0.686,22592.807901859283,0.609,0.611,0.796
