Neuron Type,Configuration,Train Acc.,Test Acc.,Tempo (s)
andneuron_prod-probsu,2,0.912,0.707,5.86
andneuron_prod-probsu,"2, 0.1, 0.3, 0.3",0.941,0.66,2287.24
andneuron_prod-probsu,"2, 0.1, 0.3, 0.7",0.943,0.683,2445.49
andneuron_prod-probsu,"2, 0.1, 0.7, 0.3",0.945,0.666,2655.74
andneuron_prod-probsu,"2, 0.1, 0.7, 0.7",0.943,0.683,2883.3
andneuron_prod-probsu,"2, 0.2, 0.3, 0.3",0.944,0.663,3138.0
andneuron_prod-probsu,"2, 0.2, 0.3, 0.7",0.943,0.663,3039.68
andneuron_prod-probsu,"2, 0.2, 0.7, 0.3",0.94,0.661,2895.4
andneuron_prod-probsu,"2, 0.2, 0.7, 0.7",0.944,0.67,3051.85
orneuron_probsum-pro,2,0.912,0.721,4.56
orneuron_probsum-pro,"2, 0.1, 0.3, 0.3",0.946,0.683,2353.93
orneuron_probsum-pro,"2, 0.1, 0.3, 0.7",0.945,0.679,2278.77
orneuron_probsum-pro,"2, 0.1, 0.7, 0.3",0.95,0.693,2468.07
orneuron_probsum-pro,"2, 0.1, 0.7, 0.7",0.944,0.675,2296.31
orneuron_probsum-pro,"2, 0.2, 0.3, 0.3",0.949,0.68,1974.0
orneuron_probsum-pro,"2, 0.2, 0.3, 0.7",0.948,0.667,2103.69
orneuron_probsum-pro,"2, 0.2, 0.7, 0.3",0.945,0.672,2052.56
orneuron_probsum-pro,"2, 0.2, 0.7, 0.7",0.946,0.673,1887.9
