Neuron Type,Configuration,Train Acc.,Test Acc.,Tempo (s)
andneuron_prod-probsu,2,0.649,0.718,29.44
andneuron_prod-probsu,"2, 0.1, 0.3, 0.3",0.65,0.698,22169.59
andneuron_prod-probsu,"2, 0.1, 0.3, 0.7",0.65,0.703,26211.3
andneuron_prod-probsu,"2, 0.1, 0.7, 0.3",0.65,0.705,22273.12
andneuron_prod-probsu,"2, 0.1, 0.7, 0.7",0.649,0.696,22486.42
andneuron_prod-probsu,"2, 0.2, 0.3, 0.3",0.65,0.698,22107.43
andneuron_prod-probsu,"2, 0.2, 0.3, 0.7",0.649,0.701,22395.01
andneuron_prod-probsu,"2, 0.2, 0.7, 0.3",0.651,0.698,26080.47
andneuron_prod-probsu,"2, 0.2, 0.7, 0.7",0.649,0.696,22524.57
orneuron_probsum-pro,2,0.65,0.713,14.82
orneuron_probsum-pro,"2, 0.1, 0.3, 0.3",0.65,0.718,13536.63
orneuron_probsum-pro,"2, 0.1, 0.3, 0.7",0.65,0.72,13650.88
orneuron_probsum-pro,"2, 0.1, 0.7, 0.3",0.65,0.713,13784.91
orneuron_probsum-pro,"2, 0.1, 0.7, 0.7",0.65,0.715,13801.99
orneuron_probsum-pro,"2, 0.2, 0.7, 0.3",0.65,0.713,14473.17
orneuron_probsum-pro,"2, 0.2, 0.3, 0.3",0.65,0.718,15001.81
orneuron_probsum-pro,"2, 0.2, 0.7, 0.7",0.65,0.71,16025.13
orneuron_probsum-pro,"2, 0.2, 0.3, 0.7",0.65,0.713,14690.88
