Neuron Type,Configuration,Train Acc.,Dev Acc.,Test Acc.,Tempo (s)
andneuron_prod-probsu,2,0.649,0.0,0.718,29.44
orneuron_probsum-pro,2,0.65,0.0,0.713,14.82
andneuron_prod-probsu,"2, 0.1, 0.3, 0.3",0.65,0.653,0.698,22169.59
orneuron_probsum-pro,"2, 0.1, 0.7, 0.7",0.65,0.653,0.715,13801.99
andneuron_prod-probsu,"2, 0.1, 0.3, 0.7",0.65,0.654,0.703,26211.3
orneuron_probsum-pro,"2, 0.1, 0.3, 0.7",0.65,0.652,0.72,13650.88
andneuron_prod-probsu,"2, 0.1, 0.7, 0.3",0.65,0.653,0.705,22273.12
orneuron_probsum-pro,"2, 0.1, 0.3, 0.3",0.65,0.653,0.718,13536.63
andneuron_prod-probsu,"2, 0.1, 0.7, 0.7",0.649,0.654,0.696,22486.42
orneuron_probsum-pro,"2, 0.2, 0.3, 0.7",0.65,0.653,0.713,14690.88
andneuron_prod-probsu,"2, 0.2, 0.3, 0.3",0.65,0.653,0.698,22107.43
orneuron_probsum-pro,"2, 0.1, 0.7, 0.3",0.65,0.652,0.713,13784.91
andneuron_prod-probsu,"2, 0.2, 0.3, 0.7",0.649,0.653,0.701,22395.01
orneuron_probsum-pro,"2, 0.2, 0.7, 0.7",0.65,0.653,0.71,16025.13
andneuron_prod-probsu,"2, 0.2, 0.7, 0.3",0.651,0.654,0.698,26080.47
orneuron_probsum-pro,"2, 0.2, 0.3, 0.3",0.65,0.653,0.718,15001.81
andneuron_prod-probsu,"2, 0.2, 0.7, 0.7",0.649,0.654,0.696,22524.57
orneuron_probsum-pro,"2, 0.2, 0.7, 0.3",0.65,0.653,0.713,14473.17
